Fold,AQI_MAE,AQI_RMSE,AQI_R2,PM25_MAE,PM25_RMSE,PM25_R2,PM10_MAE,PM10_RMSE,PM10_R2
0,130.32922509176197,158.92495313051177,-1.9517830946472339,99.46554257049102,MISSING ❌,MISSING ❌,107.85121735134179,MISSING ❌,MISSING ❌
1,27.50148121041943,56.40015121010996,0.6282415970518151,40.639822531962565,MISSING ❌,MISSING ❌,33.727314554806306,MISSING ❌,MISSING ❌
2,129.89145509058164,158.50816803420759,-1.9363211299559073,99.39926978011934,MISSING ❌,MISSING ❌,109.4968763477873,MISSING ❌,MISSING ❌
3,9.724828421293513,31.149960791415793,0.8865994226166445,15.675662204476318,MISSING ❌,MISSING ❌,19.446208377541833,MISSING ❌,MISSING ❌
