image_path,dataset,AQI,loss_weight,michelson_contrast,fft_slope,laplacian_edge,color_temperature,illuminant_vector,geometric_proxy,specular_reflection,glow_dispersion
/Users/nesar/VS/V1/kaggle/Air Pollution Image Dataset/Air Pollution Image Dataset/Combined_Dataset/IND_and_NEP/d_Unhealthy/BIR_UNH_VF_2023-02-02- 12.00-3-37.jpg,IND_NEP,158.0,1.0,1.1427668413655936,-1.1208447759835896,1545.2417489655163,0.9591687041564793,1.0031394625549315,0.7141640125089036,0.1437938456632653,0.8987386100405252
/Users/nesar/VS/V1/kaggle/Air Pollution Image Dataset/Air Pollution Image Dataset/Combined_Dataset/IND_and_NEP/d_Unhealthy/BIR_UNH_VF_2023-02-02- 12.00-3-36.jpg,IND_NEP,158.0,1.0,1.0248865378052228,-1.097959301681988,1707.7234975170566,0.9501683501683502,1.003846363054729,0.7113521362743499,0.18991151147959184,0.9138542400351412
/Users/nesar/VS/V1/kaggle/Air Pollution Image Dataset/Air Pollution Image Dataset/Combined_Dataset/IND_and_NEP/d_Unhealthy/BIR_UNH_VF_2023-02-02- 12.00-3-35.jpg,IND_NEP,158.0,1.0,0.7264123401188836,-1.1173322229810356,1698.663944674551,0.9477664854644292,1.0038607903555197,0.7101524724176201,0.1896125637755102,0.9144031421169785
/Users/nesar/VS/V1/kaggle/Air Pollution Image Dataset/Air Pollution Image Dataset/Combined_Dataset/IND_and_NEP/d_Unhealthy/BIR_UNH_VF_2023-02-02- 12.00-3-34.jpg,IND_NEP,158.0,1.0,1.3688606989438767,-1.1200421281077553,1678.7306035652302,0.9373718970621726,1.0041579946166477,0.7105215285364007,0.1890545280612245,0.9154618795747181
/Users/nesar/VS/V1/kaggle/Air Pollution Image Dataset/Air Pollution Image Dataset/Combined_Dataset/IND_and_NEP/d_Unhealthy/BIR_UNH_VF_2023-02-02- 12.00-3-33.jpg,IND_NEP,158.0,1.0,1.0607896871176634,-1.104821201291094,1764.557810988738,0.9506334643949322,1.0039008293908438,0.7107831866227448,0.189453125,0.9149930487499146
/Users/nesar/VS/V1/kaggle/Air Pollution Image Dataset/Air Pollution Image Dataset/Combined_Dataset/IND_and_NEP/d_Unhealthy/BIR_UNH_VF_2023-02-02- 12.00-3-32.jpg,IND_NEP,158.0,1.0,0.5162804460725333,-1.115557587756209,1701.1918448841807,0.9361298482293423,1.0040369927655808,0.7099533843919187,0.1906688456632653,0.9153511009337247
/Users/nesar/VS/V1/kaggle/Air Pollution Image Dataset/Air Pollution Image Dataset/Combined_Dataset/IND_and_NEP/d_Unhealthy/BIR_UNH_VF_2023-02-02- 12.00-3-31.jpg,IND_NEP,158.0,1.0,1.3931325126466083,-1.095845094630701,1644.2880173361036,0.9457364341085271,1.00453565528904,0.7115734677445748,0.18973214285714285,0.9161350187864129
/Users/nesar/VS/V1/kaggle/Air Pollution Image Dataset/Air Pollution Image Dataset/Combined_Dataset/IND_and_NEP/d_Unhealthy/BIR_UNH_VF_2023-02-02- 12.00-3-30.jpg,IND_NEP,158.0,1.0,1.4311925642053709,-1.0967330336287548,1683.3519583288603,0.9288730829073127,1.004595493211556,0.7107569218867342,0.18732063137755103,0.9168791749587325
/Users/nesar/VS/V1/kaggle/Air Pollution Image Dataset/Air Pollution Image Dataset/Combined_Dataset/IND_and_NEP/d_Unhealthy/BIR_UNH_VF_2023-02-02- 12.00-3-3.jpg,IND_NEP,158.0,1.0,1.4416276680462294,-1.1101963388010838,1697.8884516930093,0.8732297852900868,1.0009023193123523,0.714339203034575,0.1495735012755102,0.9206778919746337
/Users/nesar/VS/V1/kaggle/Air Pollution Image Dataset/Air Pollution Image Dataset/Combined_Dataset/IND_and_NEP/d_Unhealthy/BIR_UNH_VF_2023-02-02- 12.00-3-29.jpg,IND_NEP,158.0,1.0,0.8027669765050649,-1.102070716312061,1678.8875810209286,0.936645693208939,1.003575208912521,0.711594488485421,0.18829719387755103,0.9161590252057021
/Users/nesar/VS/V1/kaggle/Air Pollution Image Dataset/Air Pollution Image Dataset/Combined_Dataset/IND_and_NEP/d_Unhealthy/BIR_UNH_VF_2023-02-02- 12.00-3-28.jpg,IND_NEP,158.0,1.0,1.1130512598492917,-1.079054317391845,1735.2852490801258,0.9331724969843185,1.0028814368111776,0.7140208301912149,0.1874202806122449,0.9163513031748325
