fold,epoch,train_loss,val_mae,aqi_rmse,aqi_r2,lr,time_s
2,1,105.65741932936406,174.18900228097286,197.3627182031059,-3.5201728288963876,9.96057350657239e-05,204.7
2,2,80.01197907149844,174.25432242859114,197.41334585723715,-3.522492163576538,9.842915805643155e-05,207.5
2,3,64.41167320347088,174.28223730014858,197.432605379436,-3.523374629618554,9.648882429441257e-05,208.8
2,4,53.8989497742273,174.28910312429508,197.4431348920507,-3.523857125407023,9.381533400219318e-05,209.1
2,5,45.381233044575666,174.31876238463673,197.47250113830788,-3.5252029162538037,9.045084971874738e-05,202.8
2,6,38.57227281683134,174.311947160781,197.4651428720987,-3.5248656842124406,8.644843137107059e-05,202.7
2,7,33.08417949830194,174.34907024441617,197.50341631078066,-3.5266199072636617,8.18711994874345e-05,202.7
2,8,28.54379873309908,174.32694942567446,197.4838518062275,-3.525723146174144,7.679133974894983e-05,202.7
