city,state,timestamp,CO,NH3,NO2,OZONE,PM10,PM2.5,SO2,aqi_overall
Jaipur,Rajasthan,2025-05-19 10:00:00,38.0,5.2,42.6,36.8,97.8,51.5,14.2,97.8
Jaisalmer,Rajasthan,2025-05-19 10:00:00,35.0,7.0,3.0,29.0,107.0,27.0,7.0,107.0
Jalandhar,Punjab,2025-05-19 10:00:00,37.0,2.0,32.0,65.0,154.0,172.0,13.0,172.0
Jalgaon,Maharashtra,2025-05-19 10:00:00,39.0,,11.0,30.0,64.0,66.0,12.0,66.0
Jalna,Maharashtra,2025-05-19 10:00:00,17.0,,,5.0,,,,17.0
Jalore,Rajasthan,2025-05-19 10:00:00,13.0,4.0,9.0,42.0,79.0,39.0,3.0,79.0
Jhalawar,Rajasthan,2025-05-19 10:00:00,25.0,8.0,48.0,58.0,94.0,107.0,13.0,107.0
Jhansi,Uttar_Pradesh,2025-05-19 10:00:00,11.0,4.0,6.0,7.0,71.0,45.0,41.0,71.0
Jhunjhunu,Rajasthan,2025-05-19 10:00:00,15.0,14.0,10.0,50.0,102.0,35.0,5.0,102.0
Jodhpur,Rajasthan,2025-05-19 10:00:00,18.8,4.6,10.0,28.6,70.8,36.6,5.8,70.8
Kadapa,Andhra_Pradesh,2025-05-19 10:00:00,25.0,,,26.0,,,,26.0
Kalaburagi,Karnataka,2025-05-19 10:00:00,37.0,3.0,15.0,12.0,36.0,27.0,4.0,37.0
Kalyan,Maharashtra,2025-05-19 10:00:00,27.5,1.5,12.0,9.5,75.5,33.5,14.5,75.5
Kanchipuram,TamilNadu,2025-05-19 10:00:00,22.0,4.0,,32.0,41.0,25.0,12.0,41.0
Kanpur,Uttar_Pradesh,2025-05-19 10:00:00,49.666666666666664,2.0,33.333333333333336,21.333333333333332,82.66666666666667,69.0,25.0,82.66666666666667
Karauli,Rajasthan,2025-05-19 10:00:00,40.0,8.0,17.0,47.0,80.0,24.0,8.0,80.0
Katihar,Bihar,2025-05-19 10:00:00,37.0,1.0,14.0,7.0,,,23.0,37.0
Katni,Madhya Pradesh,2025-05-19 10:00:00,28.0,4.0,43.0,73.0,95.0,41.0,38.0,95.0
Keonjhar,Odisha,2025-05-19 10:00:00,58.0,,,,59.0,,10.0,59.0
Khanna,Punjab,2025-05-19 10:00:00,18.0,7.0,28.0,20.0,130.0,115.0,7.0,130.0
Khurja,Uttar_Pradesh,2025-05-19 10:00:00,43.0,1.0,3.0,5.0,127.0,67.0,80.0,127.0
Kishanganj,Bihar,2025-05-19 10:00:00,24.0,,8.0,18.0,,,,24.0
Kolhapur,Maharashtra,2025-05-19 10:00:00,10.0,8.0,8.5,20.5,49.0,32.0,2.0,49.0
Kolkata,West_Bengal,2025-05-19 10:00:00,19.666666666666668,7.333333333333333,30.166666666666668,17.0,38.5,27.166666666666668,6.5,38.5
Kollam,Kerala,2025-05-19 10:00:00,16.0,1.0,9.0,31.0,81.0,53.0,2.0,81.0
Korba,Chhattisgarh,2025-05-19 10:00:00,32.0,2.0,34.5,22.5,61.0,54.0,12.0,61.0
Kota,Rajasthan,2025-05-19 10:00:00,28.666666666666668,2.0,19.333333333333332,50.333333333333336,82.66666666666667,56.666666666666664,14.333333333333334,82.66666666666667
Kunjemura,Chhattisgarh,2025-05-19 10:00:00,36.0,2.0,16.0,8.0,45.0,31.0,5.0,45.0
Latur,Maharashtra,2025-05-19 10:00:00,17.0,6.0,18.0,31.0,41.0,40.0,5.0,41.0
Lucknow,Uttar_Pradesh,2025-05-19 10:00:00,35.5,10.0,27.333333333333332,26.0,114.33333333333331,97.5,23.833333333333332,114.33333333333331
Ludhiana,Punjab,2025-05-19 10:00:00,34.0,,,18.0,119.0,117.0,12.0,119.0
Madikeri,Karnataka,2025-05-19 10:00:00,11.0,1.0,2.0,5.0,21.0,27.0,7.0,27.0
Madurai,TamilNadu,2025-05-19 10:00:00,12.0,3.0,20.0,6.0,26.0,19.0,32.0,32.0
Mahad,Maharashtra,2025-05-19 10:00:00,51.0,3.0,19.0,28.0,68.0,61.0,27.0,68.0
Maihar,Madhya Pradesh,2025-05-19 10:00:00,63.0,,,,,,,63.0
Malegaon,Maharashtra,2025-05-19 10:00:00,18.0,3.0,14.0,19.0,51.0,40.0,10.0,51.0
Mandi Gobindgarh,Punjab,2025-05-19 10:00:00,103.0,7.0,26.0,49.0,112.0,124.0,22.0,124.0
Mandideep,Madhya Pradesh,2025-05-19 10:00:00,21.0,3.0,21.0,55.0,85.0,64.0,18.0,85.0
Mangalore,Karnataka,2025-05-19 10:00:00,6.0,1.0,5.0,24.0,57.0,45.0,5.0,57.0
Manguraha,Bihar,2025-05-19 10:00:00,152.0,1.0,5.0,23.0,,28.0,6.0,152.0
Meerut,Uttar_Pradesh,2025-05-19 10:00:00,27.333333333333332,13.0,17.0,52.333333333333336,104.33333333333331,50.0,18.0,104.33333333333331
Milupara,Chhattisgarh,2025-05-19 10:00:00,24.0,,,23.0,,,,24.0
Mira-Bhayandar,Maharashtra,2025-05-19 10:00:00,12.0,1.0,7.0,4.0,48.0,31.0,2.0,48.0
Moradabad,Uttar_Pradesh,2025-05-19 10:00:00,36.166666666666664,5.666666666666667,22.5,30.666666666666668,65.8,39.0,32.0,65.8
Motihari,Bihar,2025-05-19 10:00:00,,3.0,13.0,11.0,34.0,23.0,15.0,34.0
Mumbai,Maharashtra,2025-05-19 10:00:00,20.96153846153846,4.391304347826087,25.16,13.173913043478262,69.58333333333333,32.07692307692308,8.235294117647058,69.58333333333333
Munger,Bihar,2025-05-19 10:00:00,30.0,,5.0,5.0,39.0,28.0,,39.0
Muzaffarnagar,Uttar_Pradesh,2025-05-19 10:00:00,26.0,10.0,27.0,35.0,127.0,141.0,20.0,141.0
Muzaffarpur,Bihar,2025-05-19 10:00:00,29.333333333333332,2.0,8.333333333333334,29.0,44.0,35.333333333333336,5.333333333333333,44.0
Mysuru,Karnataka,2025-05-19 10:00:00,17.0,5.0,21.0,10.0,33.0,18.0,9.0,33.0
Nagaur,Rajasthan,2025-05-19 10:00:00,17.0,6.0,8.0,30.0,98.0,37.0,5.0,98.0
Nagpur,Maharashtra,2025-05-19 10:00:00,49.25,3.75,24.25,15.25,112.25,119.25,24.25,119.25
Naharlagun,Arunachal_Pradesh,2025-05-19 10:00:00,12.0,,5.0,4.0,40.0,36.0,6.0,40.0
Nalbari,Assam,2025-05-19 10:00:00,25.0,,3.0,33.0,24.0,25.0,2.0,33.0
Namakkal,TamilNadu,2025-05-19 10:00:00,,3.0,10.0,,18.0,15.0,9.0,18.0
Nanded,Maharashtra,2025-05-19 10:00:00,38.0,4.0,19.0,38.0,32.0,,,38.0
Nashik,Maharashtra,2025-05-19 10:00:00,16.0,4.75,8.75,18.0,57.75,40.5,2.5,57.75
Navi Mumbai,Maharashtra,2025-05-19 10:00:00,31.8,4.2,26.0,13.5,66.2,44.8,12.5,66.2
Nayagarh,Odisha,2025-05-19 10:00:00,21.0,7.0,5.0,7.0,60.0,29.0,5.0,60.0
Noida,Uttar_Pradesh,2025-05-19 10:00:00,43.0,12.0,40.0,34.333333333333336,136.66666666666666,96.33333333333331,19.0,136.66666666666666
